frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-4.9959,-4.9959,3.0000
0,nodes,1,4.9958,-4.9959,3.0000
0,nodes,2,-5.0041,4.9959,3.0000
0,nodes,3,5.0042,4.9959,3.0000
0,scouts,0,-3.4965,-4.9982,3.0000
0,scouts,1,-4.9977,-3.4968,3.0000
0,scouts,2,-6.4995,-4.9966,3.0000
0,scouts,3,-4.9972,-6.4982,3.0000
0,scouts,4,6.4995,-4.9966,3.0000
0,scouts,5,4.9977,-3.4968,3.0000
0,scouts,6,3.4965,-4.9982,3.0000
0,scouts,7,4.9972,-6.4982,3.0000
0,scouts,8,-3.5005,4.9966,3.0000
0,scouts,9,-5.0028,6.4982,3.0000
0,scouts,10,-6.5035,4.9982,3.0000
0,scouts,11,-5.0023,3.4968,3.0000
0,scouts,12,6.5035,4.9982,3.0000
0,scouts,13,5.0028,6.4982,3.0000
0,scouts,14,3.5005,4.9966,3.0000
0,scouts,15,5.0023,3.4968,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-4.9925,-4.9925,3.0000
1,nodes,1,4.9924,-4.9924,3.0000
1,nodes,2,-5.0076,4.9924,3.0000
1,nodes,3,5.0075,4.9924,3.0000
1,scouts,0,-3.4899,-4.9949,3.0000
1,scouts,1,-4.9935,-3.4909,3.0000
1,scouts,2,-6.4984,-4.9902,3.0000
1,scouts,3,-4.9920,-6.4950,3.0000
1,scouts,4,6.4984,-4.9902,3.0000
1,scouts,5,4.9935,-3.4909,3.0000
1,scouts,6,3.4899,-4.9949,3.0000
1,scouts,7,4.9920,-6.4950,3.0000
1,scouts,8,-3.5016,4.9902,3.0000
1,scouts,9,-5.0080,6.4950,3.0000
1,scouts,10,-6.5101,4.9949,3.0000
1,scouts,11,-5.0065,3.4909,3.0000
1,scouts,12,6.5101,4.9949,3.0000
1,scouts,13,5.0080,6.4950,3.0000
1,scouts,14,3.5016,4.9902,3.0000
1,scouts,15,5.0065,3.4909,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-4.9881,-4.9878,3.0000
2,nodes,1,4.9880,-4.9878,3.0000
2,nodes,2,-5.0119,4.9878,3.0000
2,nodes,3,5.0120,4.9877,3.0000
2,scouts,0,-3.4807,-4.9902,3.0000
2,scouts,1,-4.9876,-3.4825,3.0000
2,scouts,2,-6.4970,-4.9813,3.0000
2,scouts,3,-4.9847,-6.4904,3.0000
2,scouts,4,6.4970,-4.9813,3.0000
2,scouts,5,4.9876,-3.4825,3.0000
2,scouts,6,3.4807,-4.9902,3.0000
2,scouts,7,4.9847,-6.4904,3.0000
2,scouts,8,-3.5030,4.9813,3.0000
2,scouts,9,-5.0153,6.4904,3.0000
2,scouts,10,-6.5193,4.9902,3.0000
2,scouts,11,-5.0124,3.4825,3.0000
2,scouts,12,6.5193,4.9902,3.0000
2,scouts,13,5.0153,6.4904,3.0000
2,scouts,14,3.5030,4.9813,3.0000
2,scouts,15,5.0124,3.4825,3.0000
2,workers,0,-3.0000,-5.0000,3.0000
2,workers,1,7.0000,-5.0000,3.0000
2,workers,2,-3.0000,5.0000,3.0000
2,workers,3,7.0000,5.0000,3.0000
3,general,0,0.0000,0.0000,5.0000
3,nodes,0,-4.9835,-4.9829,3.0000
3,nodes,1,4.9832,-4.9829,3.0000
3,nodes,2,-5.0167,4.9828,3.0000
3,nodes,3,5.0167,4.9828,3.0000
3,scouts,0,-3.4692,-4.9843,3.0000
3,scouts,1,-4.9802,-3.4721,3.0000
3,scouts,2,-6.4952,-4.9701,3.0000
3,scouts,3,-4.9755,-6.4846,3.0000
3,scouts,4,6.4952,-4.9701,3.0000
3,scouts,5,4.9802,-3.4721,3.0000
3,scouts,6,3.4692,-4.9843,3.0000
3,scouts,7,4.9755,-6.4846,3.0000
3,scouts,8,-3.5048,4.9701,3.0000
3,scouts,9,-5.0245,6.4846,3.0000
3,scouts,10,-6.5308,4.9843,3.0000
3,scouts,11,-5.0198,3.4721,3.0000
3,scouts,12,6.5308,4.9843,3.0000
3,scouts,13,5.0245,6.4846,3.0000
3,scouts,14,3.5048,4.9701,3.0000
3,scouts,15,5.0198,3.4721,3.0000
3,workers,0,-3.0000,-5.0000,3.0000
3,workers,1,7.0000,-5.0000,3.0000
3,workers,2,-3.0000,5.0000,3.0000
3,workers,3,7.0000,5.0000,3.0000
4,general,0,0.0000,0.0000,5.0000
4,nodes,0,-4.9782,-4.9775,3.0000
4,nodes,1,4.9780,-4.9775,3.0000
4,nodes,2,-5.0219,4.9774,3.0000
4,nodes,3,5.0219,4.9773,3.0000
4,scouts,0,-3.4558,-4.9774,3.0000
4,scouts,1,-4.9715,-3.4599,3.0000
4,scouts,2,-6.4931,-4.9570,3.0000
4,scouts,3,-4.9648,-6.4779,3.0000
4,scouts,4,6.4931,-4.9570,3.0000
4,scouts,5,4.9715,-3.4599,3.0000
4,scouts,6,3.4558,-4.9774,3.0000
4,scouts,7,4.9648,-6.4779,3.0000
4,scouts,8,-3.5069,4.9570,3.0000
