frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-5.0025,-5.0025,3.0000
0,nodes,1,5.0025,-5.0025,3.0000
0,nodes,2,-4.9966,5.0009,3.0000
0,nodes,3,4.9965,5.0009,3.0000
0,scouts,0,-3.5003,-5.0003,3.0000
0,scouts,1,-5.0003,-3.5003,3.0000
0,scouts,2,-6.5003,-5.0003,3.0000
0,scouts,3,-5.0003,-6.5003,3.0000
0,scouts,4,6.5003,-5.0003,3.0000
0,scouts,5,5.0003,-3.5003,3.0000
0,scouts,6,3.5003,-5.0003,3.0000
0,scouts,7,5.0003,-6.5003,3.0000
0,scouts,8,-3.4996,5.0001,3.0000
0,scouts,9,-4.9996,6.5001,3.0000
0,scouts,10,-6.4996,5.0001,3.0000
0,scouts,11,-4.9996,3.5001,3.0000
0,scouts,12,6.4995,5.0001,3.0000
0,scouts,13,4.9995,6.5001,3.0000
0,scouts,14,3.4995,5.0001,3.0000
0,scouts,15,4.9995,3.5001,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-5.0055,-5.0054,3.0000
1,nodes,1,5.0054,-5.0054,3.0000
1,nodes,2,-4.9926,5.0021,3.0000
1,nodes,3,4.9926,5.0020,3.0000
1,scouts,0,-3.5010,-5.0010,3.0000
1,scouts,1,-5.0010,-3.5010,3.0000
1,scouts,2,-6.5010,-5.0010,3.0000
1,scouts,3,-5.0010,-6.5010,3.0000
1,scouts,4,6.5010,-5.0010,3.0000
1,scouts,5,5.0010,-3.5010,3.0000
1,scouts,6,3.5010,-5.0010,3.0000
1,scouts,7,5.0010,-6.5010,3.0000
1,scouts,8,-3.4986,5.0004,3.0000
1,scouts,9,-4.9986,6.5004,3.0000
1,scouts,10,-6.4986,5.0004,3.0000
1,scouts,11,-4.9986,3.5004,3.0000
1,scouts,12,6.4986,5.0004,3.0000
1,scouts,13,4.9986,6.5004,3.0000
1,scouts,14,3.4986,5.0004,3.0000
1,scouts,15,4.9986,3.5004,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-5.0086,-5.0085,3.0000
