frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-4.9959,-4.9959,3.0000
0,nodes,1,4.9959,-4.9959,3.0000
0,nodes,2,-5.0041,4.9959,3.0000
0,nodes,3,5.0040,4.9959,3.0000
0,scouts,0,-3.4974,-4.9987,3.0000
0,scouts,1,-4.9983,-3.4976,3.0000
0,scouts,2,-6.4996,-4.9974,3.0000
0,scouts,3,-4.9979,-6.4987,3.0000
0,scouts,4,6.4996,-4.9974,3.0000
0,scouts,5,4.9983,-3.4976,3.0000
0,scouts,6,3.4974,-4.9987,3.0000
0,scouts,7,4.9979,-6.4987,3.0000
0,scouts,8,-3.5004,4.9974,3.0000
0,scouts,9,-5.0021,6.4987,3.0000
0,scouts,10,-6.5026,4.9987,3.0000
0,scouts,11,-5.0017,3.4976,3.0000
0,scouts,12,6.5026,4.9987,3.0000
0,scouts,13,5.0021,6.4987,3.0000
0,scouts,14,3.5004,4.9974,3.0000
0,scouts,15,5.0017,3.4976,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-4.9927,-4.9926,3.0000
1,nodes,1,4.9927,-4.9926,3.0000
1,nodes,2,-5.0073,4.9927,3.0000
1,nodes,3,5.0073,4.9927,3.0000
1,scouts,0,-3.4924,-4.9961,3.0000
1,scouts,1,-4.9951,-3.4931,3.0000
1,scouts,2,-6.4989,-4.9927,3.0000
1,scouts,3,-4.9940,-6.4963,3.0000
1,scouts,4,6.4989,-4.9927,3.0000
1,scouts,5,4.9951,-3.4931,3.0000
1,scouts,6,3.4924,-4.9961,3.0000
1,scouts,7,4.9940,-6.4963,3.0000
1,scouts,8,-3.5011,4.9927,3.0000
1,scouts,9,-5.0060,6.4963,3.0000
1,scouts,10,-6.5076,4.9961,3.0000
1,scouts,11,-5.0049,3.4931,3.0000
1,scouts,12,6.5076,4.9961,3.0000
1,scouts,13,5.0060,6.4963,3.0000
1,scouts,14,3.5011,4.9927,3.0000
1,scouts,15,5.0049,3.4931,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-4.9887,-4.9883,3.0000
2,nodes,1,4.9886,-4.9884,3.0000
2,nodes,2,-5.0115,4.9884,3.0000
2,nodes,3,5.0114,4.9885,3.0000
2,scouts,0,-3.4855,-4.9926,3.0000
2,scouts,1,-4.9907,-3.4868,3.0000
2,scouts,2,-6.4978,-4.9860,3.0000
2,scouts,3,-4.9885,-6.4929,3.0000
2,scouts,4,6.4978,-4.9860,3.0000
2,scouts,5,4.9907,-3.4868,3.0000
2,scouts,6,3.4855,-4.9926,3.0000
2,scouts,7,4.9885,-6.4929,3.0000
2,scouts,8,-3.5022,4.9860,3.0000
2,scouts,9,-5.0115,6.4929,3.0000
2,scouts,10,-6.5145,4.9926,3.0000
2,scouts,11,-5.0093,3.4868,3.0000
2,scouts,12,6.5145,4.9926,3.0000
2,scouts,13,5.0115,6.4929,3.0000
2,scouts,14,3.5022,4.9860,3.0000
2,scouts,15,5.0093,3.4868,3.0000
2,workers,0,-3.0000,-5.0000,3.0000
2,workers,1,7.0000,-5.0000,3.0000
2,workers,2,-3.0000,5.0000,3.0000
2,workers,3,7.0000,5.0000,3.0000
3,general,0,0.0000,0.0000,5.0000
3,nodes,0,-4.9844,-4.9839,3.0000
3,nodes,1,4.9843,-4.9840,3.0000
3,nodes,2,-5.0158,4.9840,3.0000
3,nodes,3,5.0156,4.9841,3.0000
3,scouts,0,-3.4768,-4.9882,3.0000
3,scouts,1,-4.9852,-3.4790,3.0000
3,scouts,2,-6.4965,-4.9776,3.0000
3,scouts,3,-4.9817,-6.4886,3.0000
3,scouts,4,6.4965,-4.9776,3.0000
3,scouts,5,4.9852,-3.4790,3.0000
3,scouts,6,3.4768,-4.9882,3.0000
3,scouts,7,4.9817,-6.4886,3.0000
3,scouts,8,-3.5035,4.9776,3.0000
3,scouts,9,-5.0183,6.4886,3.0000
3,scouts,10,-6.5232,4.9882,3.0000
3,scouts,11,-5.0148,3.4790,3.0000
3,scouts,12,6.5232,4.9882,3.0000
3,scouts,13,5.0183,6.4886,3.0000
3,scouts,14,3.5035,4.9776,3.0000
3,scouts,15,5.0148,3.4790,3.0000
3,workers,0,-3.0000,-5.0000,3.0000
3,workers,1,7.0000,-5.0000,3.0000
3,workers,2,-3.0000,5.0000,3.0000
3,workers,3,7.0000,5.0000,3.0000
4,general,0,0.0000,0.0000,5.0000
4,nodes,0,-4.9798,-4.9791,3.0000
4,nodes,1,4.9795,-4.9791,3.0000
4,nodes,2,-5.0204,4.9792,3.0000
4,nodes,3,5.0203,4.9792,3.0000
4,scouts,0,-3.4667,-4.9831,3.0000
4,scouts,1,-4.9787,-3.4698,3.0000
4,scouts,2,-6.4950,-4.9678,3.0000
4,scouts,3,-4.9736,-6.4836,3.0000
4,scouts,4,6.4950,-4.9678,3.0000
4,scouts,5,4.9787,-3.4698,3.0000
4,scouts,6,3.4667,-4.9831,3.0000
4,scouts,7,4.9736,-6.4836,3.0000
4,scouts,8,-3.5050,4.9678,3.0000
