frame,tier,agent_idx,x,y,z
0,general,0,0.0000,0.0000,5.0000
0,nodes,0,-5.0008,-4.9966,3.0000
0,nodes,1,5.0008,-4.9966,3.0000
0,nodes,2,-4.9975,4.9975,3.0000
0,nodes,3,4.9974,4.9976,3.0000
0,scouts,0,-3.5001,-4.9995,3.0000
0,scouts,1,-5.0001,-3.4995,3.0000
0,scouts,2,-6.5001,-4.9995,3.0000
0,scouts,3,-5.0001,-6.4995,3.0000
0,scouts,4,6.5001,-4.9995,3.0000
0,scouts,5,5.0001,-3.4995,3.0000
0,scouts,6,3.5001,-4.9995,3.0000
0,scouts,7,5.0001,-6.4995,3.0000
0,scouts,8,-3.4997,4.9997,3.0000
0,scouts,9,-4.9997,6.4997,3.0000
0,scouts,10,-6.4997,4.9997,3.0000
0,scouts,11,-4.9997,3.4997,3.0000
0,scouts,12,6.4997,4.9997,3.0000
0,scouts,13,4.9997,6.4997,3.0000
0,scouts,14,3.4997,4.9997,3.0000
0,scouts,15,4.9997,3.4997,3.0000
0,workers,0,-3.0000,-5.0000,3.0000
0,workers,1,7.0000,-5.0000,3.0000
0,workers,2,-3.0000,5.0000,3.0000
0,workers,3,7.0000,5.0000,3.0000
1,general,0,0.0000,0.0000,5.0000
1,nodes,0,-5.0017,-4.9925,3.0000
1,nodes,1,5.0018,-4.9926,3.0000
1,nodes,2,-4.9946,4.9945,3.0000
1,nodes,3,4.9944,4.9946,3.0000
1,scouts,0,-3.5003,-4.9986,3.0000
1,scouts,1,-5.0003,-3.4986,3.0000
1,scouts,2,-6.5003,-4.9986,3.0000
1,scouts,3,-5.0003,-6.4986,3.0000
1,scouts,4,6.5003,-4.9986,3.0000
1,scouts,5,5.0003,-3.4986,3.0000
1,scouts,6,3.5003,-4.9986,3.0000
1,scouts,7,5.0003,-6.4986,3.0000
1,scouts,8,-3.4990,4.9990,3.0000
1,scouts,9,-4.9990,6.4990,3.0000
1,scouts,10,-6.4990,4.9990,3.0000
1,scouts,11,-4.9990,3.4990,3.0000
1,scouts,12,6.4990,4.9990,3.0000
1,scouts,13,4.9990,6.4990,3.0000
1,scouts,14,3.4990,4.9990,3.0000
1,scouts,15,4.9990,3.4990,3.0000
1,workers,0,-3.0000,-5.0000,3.0000
1,workers,1,7.0000,-5.0000,3.0000
1,workers,2,-3.0000,5.0000,3.0000
1,workers,3,7.0000,5.0000,3.0000
2,general,0,0.0000,0.0000,5.0000
2,nodes,0,-5.0027,-4.9883,3.0000
2,nodes,1,5.0028,-4.9883,3.0000
2,nodes,2,-4.9915,4.9914,3.0000
2,nodes,3,4.9913,4.9915,3.0000
2,scouts,0,-3.5006,-4.9972,3.0000
2,scouts,1,-5.0006,-3.4972,3.0000
2,scouts,2,-6.5006,-4.9972,3.0000
2,scouts,3,-5.0006,-6.4972,3.0000
2,scouts,4,6.5007,-4.9972,3.0000
2,scouts,5,5.0007,-3.4972,3.0000
2,scouts,6,3.5007,-4.9972,3.0000
2,scouts,7,5.0007,-6.4972,3.0000
2,scouts,8,-3.4980,4.9980,3.0000
2,scouts,9,-4.9980,6.4980,3.0000
2,scouts,10,-6.4980,4.9980,3.0000
2,scouts,11,-4.9980,3.4980,3.0000
2,scouts,12,6.4979,4.9980,3.0000
2,scouts,13,4.9979,6.4980,3.0000
2,scouts,14,3.4979,4.9980,3.0000
2,scouts,15,4.9979,3.4980,3.0000
2,workers,0,-3.0000,-5.0000,3.0000
2,workers,1,7.0000,-5.0000,3.0000
2,workers,2,-3.0000,5.0000,3.0000
2,workers,3,7.0000,5.0000,3.0000
3,general,0,0.0000,0.0000,5.0000
3,nodes,0,-5.0038,-4.9838,3.0000
3,nodes,1,5.0039,-4.9839,3.0000
3,nodes,2,-4.9883,4.9882,3.0000
3,nodes,3,4.9881,4.9882,3.0000
3,scouts,0,-3.5011,-4.9954,3.0000
3,scouts,1,-5.0011,-3.4954,3.0000
3,scouts,2,-6.5011,-4.9954,3.0000
3,scouts,3,-5.0011,-6.4954,3.0000
3,scouts,4,6.5011,-4.9955,3.0000
3,scouts,5,5.0011,-3.4955,3.0000
3,scouts,6,3.5011,-4.9955,3.0000
3,scouts,7,5.0011,-6.4955,3.0000
3,scouts,8,-3.4967,4.9967,3.0000
3,scouts,9,-4.9967,6.4967,3.0000
3,scouts,10,-6.4967,4.9967,3.0000
3,scouts,11,-4.9967,3.4967,3.0000
3,scouts,12,6.4966,4.9967,3.0000
3,scouts,13,4.9966,6.4967,3.0000
3,scouts,14,3.4966,4.9967,3.0000
3,scouts,15,4.9966,3.4967,3.0000
3,workers,0,-3.0000,-5.0000,3.0000
3,workers,1,7.0000,-5.0000,3.0000
3,workers,2,-3.0000,5.0000,3.0000
3,workers,3,7.0000,5.0000,3.0000
4,general,0,0.0000,0.0000,5.0000
4,nodes,0,-5.0048,-4.9793,3.0000
4,nodes,1,5.0050,-4.9793,3.0000
4,nodes,2,-4.9850,4.9848,3.0000
4,nodes,3,4.9847,4.9849,3.0000
4,scouts,0,-3.5016,-4.9933,3.0000
4,scouts,1,-5.0016,-3.4933,3.0000
4,scouts,2,-6.5016,-4.9933,3.0000
4,scouts,3,-5.0016,-6.4933,3.0000
